station_id,n_rows,n_hours_expected,fg_valid_hours,fg_valid_pct,first,last
00183,43843,43848,43714,99.7,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
00662,43848,43848,43073,98.2,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
00691,43848,43848,43543,99.3,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
00853,43843,43848,43582,99.4,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
01048,43843,43848,43824,99.9,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
01358,43843,43848,43364,98.9,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
01684,43838,43848,41627,94.9,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
01975,43799,43848,43750,99.8,2020-01-03 00:00:00+00:00,2024-12-31 23:00:00+00:00
02290,43843,43848,43760,99.8,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
02712,43848,43848,43796,99.9,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
02932,43267,43848,43236,98.6,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
03015,43838,43848,43838,100.0,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
03631,43848,43848,43546,99.3,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
03668,43843,43848,43755,99.8,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
03987,43843,43848,43766,99.8,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
04271,43843,43848,43784,99.9,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
04336,43848,43848,43686,99.6,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
04393,43848,43848,43615,99.5,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
04466,43848,43848,43729,99.7,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
04642,37988,43848,31354,71.5,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
04928,43848,43848,43453,99.1,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
05100,43848,43848,43722,99.7,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
05404,43843,43848,43541,99.3,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
05705,43848,43848,43661,99.6,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
05779,43099,43848,42947,97.9,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
05792,43843,43848,43519,99.2,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
05856,43843,43848,43450,99.1,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
05906,43848,43848,43773,99.8,2020-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00
07365,42359,43848,41418,94.5,2020-01-01 00:00:00+00:00,2024-11-30 23:00:00+00:00
