station_id,name,n_total_hours,n_obs_hours,n_daytime_hours,n_valid_kt,valid_kt_pct,kt_mean,kt_median,kt_p5,kt_p95,kt_std,n_over_irradiance,n_fg_gt1500
00183,Arkona,43848,43714,20926,19734,93.8,0.713,0.768,0.128,1.21,0.363,6137,0
00662,Braunschweig,43848,43073,20192,18828,90.2,0.708,0.711,0.169,1.256,0.35,4752,0
00691,Bremen,43848,43543,20632,19268,92.1,0.669,0.658,0.154,1.234,0.347,4005,0
00853,Chemnitz,43848,43582,20842,19180,91.0,0.697,0.701,0.131,1.261,0.371,5423,0
01048,Dresden-Klotzsche,43848,43824,20996,19071,90.7,0.714,0.724,0.136,1.273,0.376,5777,0
01358,Fichtelberg,43848,43364,20786,19165,90.3,0.638,0.591,0.126,1.222,0.365,4380,0
01684,Goerlitz,43848,41627,20251,18226,86.1,0.686,0.684,0.11,1.283,0.381,4883,0
01975,Hamburg-Fuhlsbuettel,43848,43750,20906,19499,93.0,0.681,0.675,0.16,1.239,0.351,4444,0
02290,Hohenpeissenberg,43848,43760,21187,20089,94.5,0.661,0.676,0.116,1.189,0.359,4359,0
02712,Konstanz,43848,43796,20910,19326,92.2,0.718,0.742,0.154,1.258,0.363,5629,0
02932,Leipzig/Halle,43848,43236,20720,19092,90.9,0.731,0.759,0.158,1.265,0.361,5827,0
03015,Lindenberg,43848,43838,21100,19461,92.2,0.702,0.712,0.143,1.242,0.362,5362,0
03631,Norderney,43848,43546,20870,19508,92.3,0.669,0.666,0.139,1.235,0.354,4157,0
03668,Nuernberg,43848,43755,20792,19304,92.5,0.722,0.733,0.162,1.274,0.367,5778,0
03987,Potsdam,43848,43766,21079,19601,92.7,0.692,0.697,0.13,1.233,0.364,5230,0
04271,Rostock-Warnemuende,43848,43784,20947,19603,93.3,0.702,0.725,0.142,1.219,0.359,5431,0
04336,Saarbruecken-Ensheim,43848,43686,20720,18938,90.8,0.672,0.657,0.139,1.268,0.362,4260,0
04393,Sankt-Peter-Ording,43848,43615,21032,19871,93.5,0.666,0.682,0.138,1.183,0.343,3820,0
04466,Schleswig,43848,43729,21130,19904,93.7,0.647,0.64,0.128,1.198,0.349,3749,0
04928,Stuttgart-Schnarrenberg,43848,43453,20562,19028,91.0,0.703,0.714,0.146,1.258,0.361,4995,0
05100,Trier-Petrisberg,43848,43722,20734,19070,91.5,0.665,0.646,0.136,1.258,0.359,4114,0
05404,Weihenstephan-Duernast,43848,43541,20737,19085,90.9,0.731,0.755,0.154,1.267,0.365,5963,0
05705,Wuerzburg,43848,43661,20670,19215,92.2,0.714,0.725,0.175,1.25,0.345,4837,0
05779,Zinnwald-Georgenfeld,43848,42947,20842,19277,90.8,0.661,0.635,0.12,1.238,0.369,4797,0
05792,Zugspitze,43848,43519,21138,20130,94.0,0.633,0.6,0.156,1.154,0.326,2960,0
05856,Fuerstenzell,43848,43450,20584,18989,90.6,0.718,0.735,0.139,1.252,0.371,6090,0
05906,Mannheim,43848,43773,20767,19098,91.6,0.703,0.706,0.147,1.273,0.367,5146,0
07365,Bochum,43848,41418,19915,18468,88.7,0.658,0.644,0.134,1.243,0.354,3744,0
