station_id,terrain_ruggedness
00183,9.57836586511951
00662,8.204773459017705
00691,3.070865122936496
00853,31.206158672074068
01048,24.60813303906352
01358,98.1748942739096
01684,22.321268779688946
01975,6.584726735409317
02290,66.46589977384671
02712,34.83120401016749
02932,8.727529127613762
03015,15.040944264786328
03631,1.5113927362217014
03668,14.760762827794444
03987,15.904429416313018
04271,3.7053330578804884
04336,43.66060400393505
04393,2.0977511683267713
04466,13.904054687426271
04928,34.83378075244468
05100,77.00553952910441
05404,24.72868973152365
05705,46.794509076329284
05779,76.96044273959482
05792,476.59770377755393
05856,37.36362157569755
05906,3.804842785276778
07365,27.666822262517535
00867,58.29601610495433
01346,154.1118285192224
01420,7.893499635721392
02925,39.35206917940834
04642,12.751949845374364
05142,6.753631960686845
06197,56.42907385688514
07370,78.58665860060925
15000,31.169759741409536
15444,38.126117336205816
