station_id,name,state,lat,lon,elev_m,von,bis,notes
00183,Arkona,Mecklenburg-Vorpommern,54.6791,13.4344,42,1981-01-01,2026-04-30,
00662,Braunschweig,Niedersachsen,52.2915,10.4464,81,1958-01-01,2026-04-30,
00691,Bremen,Bremen,53.0451,8.7981,4,2009-01-01,2026-04-30,
00853,Chemnitz,Sachsen,50.7913,12.872,416,1981-01-01,2026-04-30,
01048,Dresden-Klotzsche,Sachsen,51.1278,13.7543,228,1996-09-01,2026-04-30,
01358,Fichtelberg,Sachsen,50.4283,12.9536,1213,1958-01-01,2026-04-30,
01684,Goerlitz,Sachsen,51.1621,14.9506,239,2001-01-01,2026-04-30,
01975,Hamburg-Fuhlsbuettel,Hamburg,53.6332,9.9881,11,2005-01-01,2026-04-30,
02290,Hohenpeissenberg,Bayern,47.8009,11.0108,977,1953-01-01,2026-04-30,
02712,Konstanz,Baden-Wuerttemberg,47.6952,9.1307,428,1977-01-01,2026-04-30,
02932,Leipzig/Halle,Sachsen,51.4347,12.2396,131,2019-05-01,2026-04-30,
03015,Lindenberg,Brandenburg,52.2085,14.118,98,1981-01-01,2026-04-30,
03631,Norderney,Niedersachsen,53.7123,7.1519,12,1964-01-01,2026-04-30,
03668,Nuernberg,Bayern,49.503,11.0549,314,2009-01-01,2026-04-30,
03987,Potsdam,Brandenburg,52.3812,13.0622,81,1945-12-31,2026-04-30,
04271,Rostock-Warnemuende,Mecklenburg-Vorpommern,54.1803,12.0808,5,1998-01-01,2026-04-30,
04336,Saarbruecken-Ensheim,Saarland,49.2128,7.1077,319,1981-01-01,2026-04-30,
04393,Sankt-Peter-Ording,Schleswig-Holstein,54.3279,8.6031,5,2008-07-01,2026-04-30,
04466,Schleswig,Schleswig-Holstein,54.5275,9.5487,43,1980-01-01,2026-04-30,
04928,Stuttgart-Schnarrenberg,Baden-Wuerttemberg,48.8281,9.2,314,1979-01-01,2026-04-30,
05100,Trier-Petrisberg,Rheinland-Pfalz,49.7479,6.6583,261,1958-01-01,2026-04-30,
05404,Weihenstephan-Duernast,Bayern,48.4024,11.6946,477,1961-01-01,2026-04-30,
05705,Wuerzburg,Bayern,49.7704,9.9576,268,1957-01-01,2026-04-30,
05779,Zinnwald-Georgenfeld,Sachsen,50.7313,13.7516,877,1981-01-01,2026-04-30,
05792,Zugspitze,Bayern,47.421,10.9848,2956,2013-01-01,2026-04-30,
05856,Fuerstenzell,Bayern,48.5451,13.3532,476,1997-01-02,2026-04-30,
05906,Mannheim,Baden-Wuerttemberg,49.5063,8.5584,98,1979-01-01,2026-04-30,
07365,Bochum,Nordrhein-Westfalen,51.4458,7.2628,180,2009-01-01,2026-04-30,tail truncated 2024-11-30
